NOMBRE COMPETIDORA,OLA1,OLA2,OLA3,OLA4,SUMATORIA,ola1_ola2,ola3_ola4,heat1,heat2,puesto heat 1,puesto heat 2,puntaje_p1,puntaje_p2,Sumatoria de Olas,PuestoP,PuestoPP,Puesto
JAVIERA VELIZ,3.6,3.0,2.8,1.3,10.7,6.6,4.1,7,22,1,1,10.0,10.0,10.7,30.7,1,1
ISIDORA VERGARA,2.8,2.8,2.7,0.8,9.1,5.6,3.5,7,13,2,1,8.6,10.0,9.100000000000001,27.700000000000003,2,2
KATALINA PAVEZ,1.4,2.1,1.6,0.0,5.1,3.5,1.6,7,19,3,1,7.3,10.0,5.1,22.4,3,5
JAVIERA QUIROZ,1.4,2.3,0.7,0.7,5.1,3.7,1.4,10,22,1,4,10.0,6.7,5.1,21.799999999999997,4,5
TRINIDAD SEGURA,1.1,0.9,1.3,1.7,5.0,2.0,3.0,10,16,4,1,6.7,10.0,5.0,21.7,5,8
GLORIA CORTEZ,1.6,1.7,1.7,1.2,6.2,3.3,2.9,7,22,4,2,6.7,8.6,6.2,21.5,6,3
ISIDORA GRUNWALD,1.9,1.2,0.9,1.1,5.1,3.1,2.0,10,22,2,3,8.6,7.3,5.1,21.0,7,5
PAULA BARAHONA,1.8,2.4,0.0,0.0,4.2,4.2,0.0,1,13,1,4,10.0,6.7,4.2,20.9,8,10
MARTINA GONZALES,0.5,0.5,1.0,2.3,4.3,1.0,3.3,1,13,3,2,7.3,8.6,4.3,20.2,9,9
CAMILA VERDEJO,1.3,0.9,1.8,1.4,5.4,2.2,3.2,10,13,3,3,7.3,7.3,5.4,20.0,10,4
TERESITA ZAMORANO,0.8,0.8,0.8,0.6,3.0,1.6,1.4,1,16,2,3,8.6,7.3,3.0000000000000004,18.9,11,11
DANIELA JARA,0.4,1.2,0.0,0.0,1.6,1.6,0.0,4,16,1,4,10.0,6.7,1.6,18.3,12,13
ELISA AMENABAR,0.2,0.2,1.2,1.3,2.9,0.4,2.5,1,16,4,2,6.7,8.6,2.9000000000000004,18.200000000000003,13,12
NATALIA ESCOBAR DÍAZ ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,19,2,2,8.6,8.6,0.0,17.2,14,14
BETANIA CZOLLAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,19,2,2,8.6,8.6,0.0,17.2,14,14
SAMANTHA ISABELLA WILSON CENTELLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,19,2,2,8.6,8.6,0.0,17.2,14,14
